Movie Name,Rating,Year,Duration (min),Actors,Genre
The Pianist,8.5,2002.0,150.0,"Adrien Brody, Thomas Kretschmann, Frank Finlay","Biography, Drama"
The Intouchables,8.5,2011.0,112.0,"François Cluzet, Omar Sy, Anne Le Ny","Comedy, Drama"
The Big Lebowski,8.1,1998.0,117.0,"Jeff Bridges, John Goodman, Julianne Moore","Comedy, Crime"
A Clockwork Orange,8.3,1971.0,136.0,"Malcolm McDowell, Patrick Magee, Michael Bates","Crime, Sci-Fi"
The Grand Budapest Hotel,8.1,2014.0,99.0,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric","Comedy, Drama"
The Truman Show,8.1,1998.0,103.0,"Jim Carrey, Ed Harris, Laura Linney","Comedy, Drama"
The Godfather Part III,7.6,1990.0,162.0,"Al Pacino, Diane Keaton, Andy Garcia","Crime, Drama"
Reservoir Dogs,8.3,1992.0,99.0,"Harvey Keitel, Tim Roth, Michael Madsen","Crime, Thriller"
Braveheart,8.3,1995.0,178.0,"Mel Gibson, Sophie Marceau, Patrick McGoohan","Biography, Drama"
Django Unchained,8.4,2012.0,165.0,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","Drama, Western"
Mad Max: Fury Road,8.1,2015.0,120.0,"Tom Hardy, Charlize Theron, Nicholas Hoult","Action, Adventure"
A Beautiful Mind,8.2,2001.0,135.0,"Russell Crowe, Jennifer Connelly, Ed Harris","Biography, Drama"
The Sixth Sense,8.1,1999.0,107.0,"Bruce Willis, Haley Joel Osment, Toni Collette","Drama, Thriller"
Spirited Away,8.6,2001.0,125.0,"Rumi Hiiragi, Miyu Irino, Mari Natsuki","Animation, Adventure"
The Revenant,8.0,2015.0,156.0,"Leonardo DiCaprio, Tom Hardy, Will Poulter","Adventure, Drama"
The Social Network,8.0,2010.0,120.0,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake","Biography, Drama"
The Incredibles,8.0,2004.0,115.0,"Craig T. Nelson, Holly Hunter, Samuel L. Jackson","Animation, Action"
Up,8.2,2009.0,96.0,"Edward Asner, Christopher Plummer, Jordan Nagai","Animation, Adventure"
Finding Nemo,8.1,2003.0,100.0,"Albert Brooks, Ellen DeGeneres, Alexander Gould","Animation, Adventure"
The Dark Knight,9.0,2008.0,152.0,"Christian Bale, Heath Ledger, Aaron Eckhart","Action, Crime"
No Country for Old Men,8.1,2007.0,122.0,"Tommy Lee Jones, Javier Bardem, Josh Brolin","Crime, Drama"
The Great Dictator,8.4,1940.0,125.0,"Charlie Chaplin, Paulette Goddard, Jack Oakie","Comedy, Drama"
The Usual Suspects,8.5,1995.0,106.0,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri","Crime, Mystery"
The Conjuring,7.5,2013.0,112.0,"Vera Farmiga, Patrick Wilson, Lili Taylor","Horror, Mystery"
The Exorcist,8.0,1973.0,122.0,"Ellen Burstyn, Max von Sydow, Linda Blair","Horror, Thriller"
Trainspotting,8.1,1996.0,94.0,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller","Drama, Comedy"
The Great Escape,8.2,1963.0,172.0,"Steve McQueen, James Garner, Richard Attenborough","Adventure, Drama"
American History X,8.5,1998.0,119.0,"Edward Norton, Edward Furlong, Beverly D'Angelo",Drama
The Shallows,6.3,2016.0,86.0,"Blake Lively, Óscar Jaenada, Angelo José","Horror, Thriller"
Alien,8.4,1979.0,117.0,"Sigourney Weaver, Tom Skerritt, Veronica Cartwright","Horror, Sci-Fi"
Alien: Covenant,6.4,2017.0,122.0,"Michael Fassbender, Katherine Waterston, Billy Crudup","Horror, Sci-Fi"
The Thing,8.1,1982.0,109.0,"Kurt Russell, Wilford Brimley, Keith David","Horror, Mystery"
The Babadook,6.8,2014.0,93.0,"Essie Davis, Noah Wiseman, Barbara West","Horror, Drama"
Donnie Darko,8.0,2001.0,113.0,"Jake Gyllenhaal, Jena Malone, Drew Barrymore","Drama, Mystery"
The Cabin in the Woods,7.0,2012.0,95.0,"Kristen Connolly, Chris Hemsworth, Anna Hutchison","Horror, Mystery"
,,,,,
Inception,4.8,2010.0,148.0,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page","Sci-Fi, Action"
The Dark Knight,4.9,2008.0,152.0,"Christian Bale, Heath Ledger, Aaron Eckhart","Action, Thriller"
Titanic,4.7,1997.0,195.0,"Leonardo DiCaprio, Kate Winslet, Billy Zane","Romance, Drama"
Avengers: Endgame,4.6,2019.0,181.0,"Robert Downey Jr., Chris Evans, Scarlett Johansson","Action, Sci-Fi"
Forrest Gump,4.9,1994.0,142.0,"Tom Hanks, Robin Wright, Gary Sinise","Drama, Comedy"
The Matrix,4.8,1999.0,136.0,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Sci-Fi, Action"
Parasite,4.6,2019.0,132.0,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo","Thriller, Drama"
The Godfather,4.9,1972.0,175.0,"Marlon Brando, Al Pacino, James Caan","Crime, Drama"
Interstellar,4.8,2014.0,169.0,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","Sci-Fi, Adventure"
Joker,4.5,2019.0,122.0,"Joaquin Phoenix, Robert De Niro, Zazie Beetz","Drama, Thriller"
Inception,4.8,2010.0,148.0,"Leonardo DiCaprio, Joseph Gordon-Levitt","Sci-Fi, Action"
The Dark Knight,4.9,2008.0,152.0,"Christian Bale, Heath Ledger","Action, Thriller"
Titanic,4.7,1997.0,195.0,"Leonardo DiCaprio, Kate Winslet","Romance, Drama"
Avengers: Endgame,4.6,2019.0,181.0,"Robert Downey Jr., Chris Evans","Action, Sci-Fi"
Forrest Gump,4.9,1994.0,142.0,"Tom Hanks, Robin Wright","Drama, Comedy"
The Matrix,4.8,1999.0,136.0,"Keanu Reeves, Laurence Fishburne","Sci-Fi, Action"
Parasite,4.6,2019.0,132.0,"Kang-ho Song, Sun-kyun Lee","Thriller, Drama"
The Godfather,4.9,1972.0,175.0,"Marlon Brando, Al Pacino","Crime, Drama"
Interstellar,4.8,2014.0,169.0,"Matthew McConaughey, Anne Hathaway","Sci-Fi, Adventure"
Joker,4.5,2019.0,122.0,"Joaquin Phoenix, Robert De Niro","Drama, Thriller"
Toy Story,4.7,1995.0,81.0,"Tom Hanks, Tim Allen","Animation, Comedy"
Finding Nemo,4.8,2003.0,100.0,"Albert Brooks, Ellen DeGeneres","Animation, Adventure"
Gladiator,4.7,2000.0,155.0,"Russell Crowe, Joaquin Phoenix","Action, Drama"
Schindler's List,4.9,1993.0,195.0,"Liam Neeson, Ralph Fiennes","Biography, Drama"
The Shawshank Redemption,4.9,1994.0,142.0,"Tim Robbins, Morgan Freeman","Drama, Crime"
Star Wars: A New Hope,4.8,1977.0,121.0,"Mark Hamill, Harrison Ford","Sci-Fi, Adventure"
The Lion King,4.7,1994.0,88.0,"Matthew Broderick, Jeremy Irons","Animation, Adventure"
Braveheart,4.8,1995.0,178.0,"Mel Gibson, Sophie Marceau","Biography, Drama"
Pulp Fiction,4.8,1994.0,154.0,"John Travolta, Uma Thurman","Crime, Drama"
Black Panther,4.6,2018.0,134.0,"Chadwick Boseman, Michael B. Jordan","Action, Sci-Fi"
The Avengers,4.7,2012.0,143.0,"Robert Downey Jr., Chris Hemsworth","Action, Sci-Fi"
Spider-Man: No Way Home,4.8,2021.0,148.0,"Tom Holland, Zendaya","Action, Adventure"
Coco,4.9,2017.0,105.0,"Anthony Gonzalez, Gael García Bernal","Animation, Family"
Moana,4.7,2016.0,107.0,"Auli?i Cravalho, Dwayne Johnson","Animation, Adventure"
Frozen,4.6,2013.0,102.0,"Kristen Bell, Idina Menzel","Animation, Musical"
The Social Network,4.7,2010.0,120.0,"Jesse Eisenberg, Andrew Garfield","Biography, Drama"
The Wolf of Wall Street,4.8,2013.0,180.0,"Leonardo DiCaprio, Jonah Hill","Biography, Comedy"
Bohemian Rhapsody,4.7,2018.0,134.0,"Rami Malek, Gwilym Lee","Biography, Drama"
A Beautiful Mind,4.8,2001.0,135.0,"Russell Crowe, Jennifer Connelly","Biography, Drama"
Up,4.8,2009.0,96.0,"Ed Asner, Christopher Plummer","Animation, Adventure"
Ratatouille,4.8,2007.0,111.0,"Patton Oswalt, Ian Holm","Animation, Comedy"
Inside Out,4.7,2015.0,95.0,"Amy Poehler, Phyllis Smith","Animation, Family"
WALL-E,4.9,2008.0,98.0,"Ben Burtt, Elissa Knight","Animation, Sci-Fi"
Harry Potter and the Sorcerer's Stone,4.7,2001.0,152.0,"Daniel Radcliffe, Emma Watson","Fantasy, Adventure"
Lord of the Rings: The Fellowship of the Ring,4.8,2001.0,178.0,"Elijah Wood, Ian McKellen","Fantasy, Adventure"
Lord of the Rings: The Return of the King,4.9,2003.0,201.0,"Elijah Wood, Viggo Mortensen","Fantasy, Adventure"
Jurassic Park,4.8,1993.0,127.0,"Sam Neill, Laura Dern","Sci-Fi, Adventure"
The Terminator,4.7,1984.0,107.0,"Arnold Schwarzenegger, Linda Hamilton","Sci-Fi, Action"
Terminator 2: Judgment Day,4.8,1991.0,137.0,"Arnold Schwarzenegger, Linda Hamilton","Sci-Fi, Action"
The Silence of the Lambs,4.9,1991.0,118.0,"Jodie Foster, Anthony Hopkins","Thriller, Crime"
Goodfellas,4.8,1990.0,145.0,"Ray Liotta, Joe Pesci","Crime, Drama"
Shadow of Destiny,7.8,2023.0,125.0,"Chris Hemsworth, Emily Blunt","Action, Thriller"
Love Beyond Time,8.4,2024.0,110.0,"Anne Hathaway, Timothée Chalamet","Romance, Drama"
The Quantum Heist,7.1,2023.0,135.0,"Robert Downey Jr., Zoe Saldana","Sci-Fi, Action"
Melody of Silence,6.9,2025.0,102.0,"Saoirse Ronan, Adam Driver","Drama, Musical"
Guardians of Terra,8.2,2023.0,140.0,"Chris Pratt, Zoe Saldana","Adventure, Sci-Fi"
Midnight Mirage,7.3,2024.0,118.0,"Zendaya, Tom Holland","Thriller, Mystery"
Echoes of Eternity,6.8,2025.0,128.0,"Margot Robbie, Ryan Gosling","Fantasy, Romance"
The Final Encore,7.6,2023.0,123.0,"Hugh Jackman, Anne Hathaway","Musical, Drama"
Parallel Worlds,7.9,2024.0,142.0,"Tom Hiddleston, Florence Pugh","Sci-Fi, Drama"
Shadows in the Mist,6.5,2025.0,99.0,"Millie Bobby Brown, Finn Wolfhard","Horror, Mystery"
,,,,,
Eclipse of Eternity,7.8,2024.0,120.0,"John Doe, Jane Smith, Michael Redford","Sci-Fi, Drama, Thriller"
Silent Voices,8.2,2024.0,105.0,"Emily Watson, Tom Hardy, Sarah Jennings","Mystery, Drama"
The Last Frontier,7.9,2024.0,130.0,"Leonardo DiCaprio, Zendaya, Chris Hemsworth","Action, Adventure"
Virtual Love,7.5,2024.0,95.0,"Emma Stone, Timothée Chalamet, Olivia Cooke","Romance, Sci-Fi"
Shadows of the Past,8.0,2024.0,110.0,"Hugh Jackman, Natalie Portman, Mark Ruffalo","Drama, Mystery"
Guardians of the Sky,8.3,2024.0,145.0,"Will Smith, Tessa Thompson, John Boyega","Action, Adventure"
The Quantum Shift,8.4,2024.0,135.0,"Benedict Cumberbatch, Tom Hiddleston, Zoe Kravitz","Sci-Fi, Drama"
The Rise of Chaos,7.6,2024.0,120.0,"Scarlett Johansson, Daniel Craig, Keira Knightley","Action, Thriller"
Beneath the Waves,7.7,2024.0,118.0,"Nicole Kidman, Jason Momoa, Sophie Turner","Adventure, Drama"
The Edge of Reality,8.1,2024.0,125.0,"Natalie Dormer, Chris Evans, Emma Roberts","Sci-Fi, Thriller"
Starlight Serenade,7.9,2024.0,90.0,"Kristen Stewart, Ryan Gosling, Hailee Steinfeld","Romance, Drama"
Horizon of the Mind,7.4,2024.0,100.0,"Jessica Chastain, Matthew McConaughey, Idris Elba","Sci-Fi, Thriller"
Midnight Pursuit,8.0,2024.0,130.0,"Keanu Reeves, Dwayne Johnson, Charlize Theron","Action, Crime"
Lost in the Void,7.8,2024.0,140.0,"Florence Pugh, Timothée Chalamet, Oscar Isaac","Drama, Sci-Fi"
Under the Red Sun,7.6,2024.0,105.0,"Margot Robbie, Jake Gyllenhaal, Tom Holland","Action, Thriller"
Vengeance of the Fallen,8.2,2024.0,150.0,"Chris Hemsworth, Zoe Saldana, Idris Elba","Action, Drama"
Echoes of Silence,7.5,2024.0,108.0,"Alicia Vikander, Hugh Grant, Ryan Reynolds","Drama, Mystery"
War of the Elements,8.3,2024.0,160.0,"Jason Statham, Gal Gadot, Jessica Alba","Action, Fantasy"
The Illusion of Freedom,7.9,2024.0,125.0,"Johnny Depp, Helena Bonham Carter, Anne Hathaway","Drama, Thriller"
A Glimpse into Tomorrow,8.4,2024.0,115.0,"Zendaya, Florence Pugh, Pedro Pascal","Sci-Fi, Drama"
On the Edge of Nowhere,8.0,2024.0,140.0,"Brad Pitt, Emma Watson, Tom Hanks","Drama, Adventure"
Rise of the Phoenix,7.8,2024.0,135.0,"Jessica Chastain, Richard Madden, Dakota Fanning","Action, Drama"
The Escape from Eden,7.7,2024.0,125.0,"Jennifer Lawrence, Liam Hemsworth, Colin Farrell","Sci-Fi, Thriller"
Secrets of the Deep,7.6,2024.0,115.0,"Emma Stone, Tom Hiddleston, Sandra Bullock","Mystery, Thriller"
The Heart of the Storm,8.1,2024.0,138.0,"Leonardo DiCaprio, Emma Roberts, Ben Affleck","Action, Drama"
Chronicles of the Lost Kingdom,7.9,2024.0,142.0,"Chris Pine, Gal Gadot, Hugh Grant","Fantasy, Adventure"
City of the Forgotten,7.6,2024.0,110.0,"Olivia Wilde, Joseph Gordon-Levitt, Bill Nighy","Thriller, Drama"
Rise of the Machines,8.5,2024.0,150.0,"Arnold Schwarzenegger, Chris Pratt, Tessa Thompson","Action, Sci-Fi"
The Last Dance,8.2,2024.0,120.0,"Jennifer Lopez, Ryan Reynolds, Tom Hardy","Drama, Romance"
Into the Wildlands,7.8,2024.0,125.0,"Emma Thompson, Matt Damon, Alice Eve","Adventure, Fantasy"
The Quest for Tomorrow,8.0,2024.0,130.0,"Tom Hanks, Cate Blanchett, Andrew Garfield","Sci-Fi, Adventure"
Through the Fire,7.9,2024.0,145.0,"Leonardo DiCaprio, Nicole Kidman, Ryan Gosling","Drama, Thriller"
The Silent Revolution,8.3,2024.0,118.0,"Emma Watson, Joaquin Phoenix, Robert Pattinson","Drama, Sci-Fi"
Across the Horizon,7.7,2024.0,130.0,"Reese Witherspoon, Chris Hemsworth, Amy Adams","Adventure, Drama"
The Fall of the Empire,8.0,2024.0,140.0,"Dwayne Johnson, Scarlett Johansson, Chris Evans","Action, Sci-Fi"
Shattered Realities,7.8,2024.0,125.0,"Keira Knightley, Colin Firth, Matthew McConaughey","Drama, Thriller"
Beyond the Stars,7.9,2024.0,132.0,"Tom Cruise, Emily Blunt, Hugo Weaving","Sci-Fi, Thriller"
Return to the Past,8.1,2024.0,145.0,"Brad Pitt, Cate Blanchett, Margot Robbie","Drama, Sci-Fi"
Under the Dark Sky,8.0,2024.0,118.0,"Natalie Portman, Joseph Gordon-Levitt, Stanley Tucci","Thriller, Drama"
The Guardians of Earth,8.3,2024.0,150.0,"Chris Evans, Zoe Saldana, Samuel L. Jackson","Action, Sci-Fi"
The Code of Shadows,8.1,2024.0,135.0,"Ryan Gosling, Charlize Theron, Kevin Spacey","Crime, Drama, Thriller"
The Unseen War,7.6,2024.0,125.0,"Bradley Cooper, Emily Blunt, Hugh Jackman","Thriller, Action"
Rise of the Gods,8.2,2024.0,160.0,"Dwayne Johnson, Gal Gadot, Liam Hemsworth","Action, Fantasy"
Lost in the Cold,7.7,2024.0,140.0,"Nicole Kidman, Chris Pratt, Tom Hardy","Drama, Thriller"
The Revolution of Time,8.4,2024.0,145.0,"Jennifer Lawrence, Idris Elba, Robert Pattinson","Sci-Fi, Drama"
The Infinite Game,7.8,2024.0,132.0,"Leonardo DiCaprio, Ryan Reynolds, Brie Larson","Action, Thrille"
The Last Star,9.2,2024.0,140.0,"Benedict Cumberbatch, Natalie Portman, Matt Damon","Sci-Fi, Drama, Adventure"
Ascension of the Gods,9.1,2024.0,160.0,"Tom Hanks, Zendaya, Chris Hemsworth","Action, Fantasy, Drama"
Eternal Dreams,9.3,2024.0,135.0,"Florence Pugh, Keanu Reeves, Emma Watson","Drama, Fantasy, Romance"
The Timekeeper,9.4,2024.0,145.0,"Leonardo DiCaprio, Margot Robbie, Emma Stone","Sci-Fi, Thriller, Drama"
Shadows of the Unknown,9.0,2024.0,125.0,"Ryan Gosling, Jennifer Lawrence, Oscar Isaac","Thriller, Mystery"
A Glimpse of Tomorrow,9.2,2024.0,120.0,"Scarlett Johansson, Chris Pratt, Reese Witherspoon","Sci-Fi, Drama, Thriller"
Into the Horizon,9.1,2024.0,130.0,"Tom Cruise, Emma Watson, Jude Law","Adventure, Sci-Fi"
The Infinite Cycle,9.5,2024.0,150.0,"Dwayne Johnson, Zoe Saldana, Robert Downey Jr.","Action, Sci-Fi, Drama"
The Last Light,9.4,2024.0,140.0,"Will Smith, Charlize Theron, Idris Elba","Drama, Adventure"
The Everlasting Night,9.3,2024.0,135.0,"Hugh Jackman, Emily Blunt, Liam Hemsworth","Mystery, Sci-Fi"
Breaking the Silence,9.1,2024.0,120.0,"Julia Roberts, Ryan Reynolds, Daniel Craig","Drama, Thriller"
Beyond the Limits,9.0,2024.0,125.0,"Chris Hemsworth, Natalie Dormer, Jessica Chastain","Sci-Fi, Drama, Adventure"
The Edge of Infinity,9.3,2024.0,155.0,"Oscar Isaac, Brie Larson, Tom Hardy","Sci-Fi, Drama, Thriller"
The Realm of Time,9.6,2024.0,160.0,"Emily Blunt, Dwayne Johnson, Tom Hanks","Fantasy, Drama, Sci-Fi"
The Phoenix Awakens,9.4,2024.0,148.0,"Chris Evans, Cate Blanchett, Gal Gadot","Drama, Fantasy, Adventure"
The Uncharted Universe,9.5,2024.0,140.0,"Zendaya, Robert Pattinson, John Boyega","Sci-Fi, Drama"
The Heart of Darkness,9.0,2024.0,130.0,"Hugh Grant, Margot Robbie, Jake Gyllenhaal","Thriller, Drama"
The Revolution of Souls,9.2,2024.0,150.0,"Matthew McConaughey, Natalie Portman, Joaquin Phoenix","Drama, Sci-Fi, Adventure"
A World Beyond,9.1,2024.0,135.0,"Jennifer Lawrence, Chris Evans, Mahershala Ali","Sci-Fi, Drama, Thriller"
The Last Symphony,9.3,2024.0,160.0,"Tom Hiddleston, Saoirse Ronan, Cate Blanchett","Drama, Thriller, Mystery"
The Infinite Dream,10.0,2024.0,145.0,"Leonardo DiCaprio, Emma Watson, Benedict Cumberbatch","Sci-Fi, Drama, Adventure"
Legacy of the Gods,10.0,2024.0,150.0,"Dwayne Johnson, Zoe Saldana, Chris Hemsworth","Action, Fantasy"
The Cosmic Paradox,10.0,2024.0,140.0,"Scarlett Johansson, Chris Evans, Ryan Reynolds","Sci-Fi, Thriller, Drama"
Into the Light,10.0,2024.0,120.0,"Tom Hanks, Zendaya, Cate Blanchett","Drama, Romance"
The Horizon Beyond,10.0,2024.0,130.0,"Will Smith, Julia Roberts, Oscar Isaac","Adventure, Sci-Fi"
Eternal Echoes,10.0,2024.0,138.0,"Natalie Portman, Matt Damon, Reese Witherspoon","Sci-Fi, Drama, Mystery"
The Edge of Eternity,10.0,2024.0,155.0,"Jennifer Lawrence, Hugh Jackman, Ryan Gosling","Thriller, Sci-Fi, Drama"
The Unseen World,10.0,2024.0,148.0,"Zoe Kravitz, Timothée Chalamet, Emily Blunt","Mystery, Sci-Fi, Thriller"
Voices of the Future,10.0,2024.0,160.0,"Robert Pattinson, Charlize Theron, Florence Pugh","Sci-Fi, Drama"
A New Dawn,10.0,2024.0,125.0,"Chris Hemsworth, Brie Larson, Jessica Chastain","Drama, Sci-Fi, Adventure"
Beyond the Veil,10.0,2024.0,135.0,"Tom Cruise, Emma Stone, Idris Elba","Thriller, Sci-Fi"
The Last Voyage,10.0,2024.0,145.0,"Ryan Gosling, Natalie Dormer, Leonardo DiCaprio","Adventure, Mystery"
Rise of the Phoenix,10.0,2024.0,150.0,"Gal Gadot, Chris Pine, Bradley Cooper","Action, Fantasy, Drama"
Beyond the Stars,10.0,2024.0,140.0,"Zendaya, Oscar Isaac, John Boyega","Sci-Fi, Drama, Adventure"
The World Awaits,10.0,2024.0,160.0,"Tessa Thompson, Matt Damon, Brie Larson","Adventure, Sci-Fi"
The Forgotten Kingdom,10.0,2024.0,130.0,"Jake Gyllenhaal, Margot Robbie, Jude Law","Fantasy, Drama"
Through the Rift,10.0,2024.0,145.0,"Nicole Kidman, Chris Pratt, Johnny Depp","Sci-Fi, Thriller, Action"
Immortal Souls,10.0,2024.0,150.0,"Oscar Isaac, Timothée Chalamet, Emma Roberts","Drama, Sci-Fi, Adventure"
The Final Awakening,10.0,2024.0,140.0,"Cate Blanchett, Daniel Craig, Florence Pugh","Thriller, Drama, Mystery"
The Edge of the Universe,10.0,2024.0,155.0,"Emma Thompson, Idris Elba, Chris Hemsworth","Sci-Fi, Thriller, Drama"
Pathaan,8.2,2023.0,146.0,"Shah Rukh Khan, Deepika Padukone","Action, Thriller"
Brahmastra,6.7,2022.0,167.0,"Ranbir Kapoor, Alia Bhatt","Fantasy, Action"
83,7.5,2021.0,162.0,"Ranveer Singh, Deepika Padukone","Biography, Drama"
Shershaah,8.4,2021.0,135.0,"Sidharth Malhotra, Kiara Advani","Biography, Action"
Gangubai Kathiawadi,7.9,2022.0,152.0,"Alia Bhatt, Ajay Devgn","Drama, Biography"
Bhool Bhulaiyaa 2,6.4,2022.0,145.0,"Kartik Aaryan, Kiara Advani","Comedy, Horror"
Drishyam 2,8.3,2022.0,140.0,"Ajay Devgn, Tabu","Thriller, Drama"
Sooryavanshi,6.8,2021.0,145.0,"Akshay Kumar, Katrina Kaif","Action, Drama"
Bhediya,7.2,2022.0,156.0,"Varun Dhawan, Kriti Sanon","Horror, Comedy"
Vikram Vedha,7.7,2022.0,160.0,"Hrithik Roshan, Saif Ali Khan","Action, Thriller"
Darlings,7.6,2022.0,133.0,"Alia Bhatt, Shefali Shah",Dark Comedy
Atrangi Re,6.7,2021.0,138.0,"Akshay Kumar, Sara Ali Khan","Romance, Drama"
Radhe Shyam,5.3,2022.0,138.0,"Prabhas, Pooja Hegde","Romance, Drama"
Chhichhore,8.3,2019.0,143.0,"Sushant Singh Rajput, Shraddha Kapoor","Comedy, Drama"
War,6.5,2019.0,154.0,"Hrithik Roshan, Tiger Shroff","Action, Thriller"
Kalank,4.5,2019.0,166.0,"Alia Bhatt, Varun Dhawan","Romance, Drama"
Gully Boy,8.0,2019.0,153.0,"Ranveer Singh, Alia Bhatt","Drama, Music"
Kabir Singh,7.1,2019.0,172.0,"Shahid Kapoor, Kiara Advani","Romance, Drama"
Sanju,7.6,2018.0,161.0,"Ranbir Kapoor, Sonam Kapoor","Biography, Drama"
Andhadhun,8.2,2018.0,139.0,"Ayushmann Khurrana, Tabu","Thriller, Mystery"
Stree,7.6,2018.0,128.0,"Rajkummar Rao, Shraddha Kapoor","Horror, Comedy"
Raazi,7.8,2018.0,138.0,"Alia Bhatt, Vicky Kaushal","Thriller, Drama"
Padmaavat,7.0,2018.0,164.0,"Deepika Padukone, Ranveer Singh",Historical Drama
Secret Superstar,8.0,2017.0,150.0,"Zaira Wasim, Aamir Khan","Drama, Music"
Dangal,8.4,2016.0,161.0,"Aamir Khan, Fatima Sana Shaikh","Biography, Drama"
Bajrangi Bhaijaan,8.0,2015.0,163.0,"Salman Khan, Kareena Kapoor","Drama, Comedy"
PK,8.1,2014.0,153.0,"Aamir Khan, Anushka Sharma","Comedy, Drama"
Queen,8.2,2013.0,146.0,"Kangana Ranaut, Rajkummar Rao","Comedy, Drama"
Chennai Express,6.1,2013.0,141.0,"Shah Rukh Khan, Deepika Padukone","Comedy, Romance"
Himmatwala,2.1,2013.0,150.0,"Ajay Devgn, Tamannaah","Action, Comedy"
Humshakals,1.9,2014.0,159.0,"Saif Ali Khan, Riteish Deshmukh",Comedy
Ram Gopal Varma Ki Aag,1.7,2007.0,174.0,"Amitabh Bachchan, Ajay Devgn","Drama, Action"
Tees Maar Khan,2.5,2010.0,138.0,"Akshay Kumar, Katrina Kaif","Comedy, Heist"
Joker,2.6,2012.0,103.0,"Akshay Kumar, Sonakshi Sinha","Comedy, Sci-Fi"
Love Story 2050,2.6,2008.0,180.0,"Harman Baweja, Priyanka Chopra","Sci-Fi, Romance"
Kya Kool Hain Hum 3,1.6,2016.0,124.0,"Tusshar Kapoor, Aftab Shivdasani","Comedy, Adult"
